airline,destination,price,starting_point,days_after
GO_FIRST,Mumbai,15117,Delhi,2
Air_India,Mumbai,15195,Delhi,2
Indigo,Mumbai,15232,Delhi,2
Air_India,Mumbai,15510,Delhi,2
Indigo,Mumbai,15720,Delhi,2
SpiceJet,Mumbai,15720,Delhi,2
Air_India,Mumbai,16035,Delhi,2
Vistara,Mumbai,16560,Delhi,2
GO_FIRST,Mumbai,16823,Delhi,2
Vistara,Mumbai,17348,Delhi,2
GO_FIRST,Mumbai,17136,Delhi,2
Air_India,Mumbai,18135,Delhi,2
Vistara,Mumbai,19343,Delhi,2
Vistara,Mumbai,19553,Delhi,2
Vistara,Mumbai,19815,Delhi,2
Air_India,Mumbai,20445,Delhi,2
Air_India,Mumbai,21180,Delhi,2
Air_India,Mumbai,22335,Delhi,2
GO_FIRST,Mumbai,23281,Delhi,2
Vistara,Mumbai,24488,Delhi,2
Air_India,Mumbai,24855,Delhi,2
Vistara,Mumbai,25905,Delhi,2
Vistara,Mumbai,29160,Delhi,2
Air_India,Mumbai,29580,Delhi,2
SpiceJet,Mumbai,5953,Delhi,3
Vistara,Mumbai,5955,Delhi,3
GO_FIRST,Mumbai,5954,Delhi,3
Indigo,Mumbai,5955,Delhi,3
AirAsia,Mumbai,5956,Delhi,3
Air_India,Mumbai,5955,Delhi,3
Vistara,Mumbai,6375,Delhi,3
SpiceJet,Mumbai,6060,Delhi,3
SpiceJet,Mumbai,6270,Delhi,3
Vistara,Mumbai,6690,Delhi,3
GO_FIRST,Mumbai,6532,Delhi,3
Vistara,Mumbai,7005,Delhi,3
Air_India,Mumbai,6795,Delhi,3
GO_FIRST,Mumbai,7110,Delhi,3
Indigo,Mumbai,7420,Delhi,3
Indigo,Mumbai,7583,Delhi,3
Indigo,Mumbai,7845,Delhi,3
Indigo,Mumbai,8055,Delhi,3
Indigo,Mumbai,8370,Delhi,3
Vistara,Mumbai,9525,Delhi,3
Vistara,Mumbai,9988,Delhi,3
AirAsia,Mumbai,9840,Delhi,3
Air_India,Mumbai,9988,Delhi,3
Indigo,Mumbai,10523,Delhi,3
Vistara,Mumbai,11048,Delhi,3
SpiceJet,Mumbai,10759,Delhi,3
Air_India,Mumbai,10785,Delhi,3
GO_FIRST,Mumbai,10863,Delhi,3
Indigo,Mumbai,10943,Delhi,3
Vistara,Mumbai,11415,Delhi,3
Indigo,Mumbai,11326,Delhi,3
Air_India,Mumbai,11468,Delhi,3
Vistara,Mumbai,12098,Delhi,3
Vistara,Mumbai,12150,Delhi,3
SpiceJet,Mumbai,11809,Delhi,3
Indigo,Mumbai,11814,Delhi,3
Air_India,Mumbai,11900,Delhi,3
Indigo,Mumbai,11993,Delhi,3
SpiceJet,Mumbai,12010,Delhi,3
GO_FIRST,Mumbai,12045,Delhi,3
Air_India,Mumbai,12150,Delhi,3
GO_FIRST,Mumbai,12229,Delhi,3
Vistara,Mumbai,12623,Delhi,3
Air_India,Mumbai,12298,Delhi,3
Vistara,Mumbai,12780,Delhi,3
Air_India,Mumbai,12465,Delhi,3
Vistara,Mumbai,12885,Delhi,3
Indigo,Mumbai,12570,Delhi,3
AirAsia,Mumbai,12990,Delhi,3
Vistara,Mumbai,13410,Delhi,3
GO_FIRST,Mumbai,13069,Delhi,3
Air_India,Mumbai,13086,Delhi,3
Vistara,Mumbai,13515,Delhi,3
SpiceJet,Mumbai,13200,Delhi,3
Indigo,Mumbai,13279,Delhi,3
Air_India,Mumbai,13515,Delhi,3
Vistara,Mumbai,14040,Delhi,3
Indigo,Mumbai,13767,Delhi,3
Vistara,Mumbai,14565,Delhi,3
GO_FIRST,Mumbai,14235,Delhi,3
Air_India,Mumbai,14250,Delhi,3
Vistara,Mumbai,14618,Delhi,3
Vistara,Mumbai,14775,Delhi,3
Indigo,Mumbai,14744,Delhi,3
Vistara,Mumbai,15353,Delhi,3
Vistara,Mumbai,15405,Delhi,3
Air_India,Mumbai,15090,Delhi,3
Indigo,Mumbai,15232,Delhi,3
Vistara,Mumbai,15720,Delhi,3
Air_India,Mumbai,15405,Delhi,3
Indigo,Mumbai,15720,Delhi,3
Air_India,Mumbai,15825,Delhi,3
Air_India,Mumbai,16245,Delhi,3
Vistara,Mumbai,16665,Delhi,3
Vistara,Mumbai,16718,Delhi,3
GO_FIRST,Mumbai,16823,Delhi,3
Vistara,Mumbai,17190,Delhi,3
GO_FIRST,Mumbai,16859,Delhi,3
Vistara,Mumbai,17243,Delhi,3
Vistara,Mumbai,17348,Delhi,3
GO_FIRST,Mumbai,17136,Delhi,3
Air_India,Mumbai,17295,Delhi,3
Vistara,Mumbai,17978,Delhi,3
Vistara,Mumbai,18030,Delhi,3
Vistara,Mumbai,18135,Delhi,3
Air_India,Mumbai,18135,Delhi,3
Vistara,Mumbai,18713,Delhi,3
Vistara,Mumbai,19238,Delhi,3
Air_India,Mumbai,19605,Delhi,3
Air_India,Mumbai,19920,Delhi,3
Vistara,Mumbai,21233,Delhi,3
Vistara,Mumbai,21285,Delhi,3
GO_FIRST,Mumbai,21899,Delhi,3
Air_India,Mumbai,22755,Delhi,3
Vistara,Mumbai,23228,Delhi,3
Air_India,Mumbai,22965,Delhi,3
Air_India,Mumbai,23070,Delhi,3
GO_FIRST,Mumbai,23491,Delhi,3
Air_India,Mumbai,24225,Delhi,3
Air_India,Mumbai,24435,Delhi,3
Air_India,Mumbai,25223,Delhi,3
Air_India,Mumbai,26325,Delhi,3
Air_India,Mumbai,27165,Delhi,3
Air_India,Mumbai,29580,Delhi,3
Air_India,Mumbai,31260,Delhi,3
SpiceJet,Mumbai,5953,Delhi,4
Vistara,Mumbai,5955,Delhi,4
Vistara,Mumbai,6060,Delhi,4
GO_FIRST,Mumbai,5954,Delhi,4
Indigo,Mumbai,5955,Delhi,4
SpiceJet,Mumbai,5955,Delhi,4
Air_India,Mumbai,5955,Delhi,4
AirAsia,Mumbai,5949,Delhi,4
AirAsia,Mumbai,6139,Delhi,4
Indigo,Mumbai,6165,Delhi,4
SpiceJet,Mumbai,6270,Delhi,4
Vistara,Mumbai,6690,Delhi,4
Indigo,Mumbai,6443,Delhi,4
GO_FIRST,Mumbai,6532,Delhi,4
Indigo,Mumbai,6932,Delhi,4
Indigo,Mumbai,7420,Delhi,4
Air_India,Mumbai,8413,Delhi,4
Vistara,Mumbai,9000,Delhi,4
Air_India,Mumbai,8790,Delhi,4
GO_FIRST,Mumbai,8869,Delhi,4
Indigo,Mumbai,8885,Delhi,4
Air_India,Mumbai,9000,Delhi,4
GO_FIRST,Mumbai,9447,Delhi,4
Vistara,Mumbai,9840,Delhi,4
Air_India,Mumbai,9525,Delhi,4
Indigo,Mumbai,9788,Delhi,4
Air_India,Mumbai,9905,Delhi,4
Air_India,Mumbai,9988,Delhi,4
Vistara,Mumbai,10575,Delhi,4
Air_India,Mumbai,10260,Delhi,4
Indigo,Mumbai,10349,Delhi,4
Indigo,Mumbai,10523,Delhi,4
GO_FIRST,Mumbai,10549,Delhi,4
GO_FIRST,Mumbai,10575,Delhi,4
Air_India,Mumbai,10680,Delhi,4
Vistara,Mumbai,11205,Delhi,4
Vistara,Mumbai,11573,Delhi,4
Vistara,Mumbai,11625,Delhi,4
GO_FIRST,Mumbai,11295,Delhi,4
GO_FIRST,Mumbai,11609,Delhi,4
Vistara,Mumbai,12150,Delhi,4
Air_India,Mumbai,11900,Delhi,4
Air_India,Mumbai,12150,Delhi,4
SpiceJet,Mumbai,12228,Delhi,4
Air_India,Mumbai,12298,Delhi,4
Indigo,Mumbai,12302,Delhi,4
Air_India,Mumbai,12360,Delhi,4
Indigo,Mumbai,12518,Delhi,4
Vistara,Mumbai,12990,Delhi,4
Air_India,Mumbai,12990,Delhi,4
GO_FIRST,Mumbai,13043,Delhi,4
Vistara,Mumbai,13410,Delhi,4
SpiceJet,Mumbai,13200,Delhi,4
Vistara,Mumbai,14565,Delhi,4
Air_India,Mumbai,14775,Delhi,4
Air_India,Mumbai,15143,Delhi,4
Vistara,Mumbai,15825,Delhi,4
Air_India,Mumbai,15720,Delhi,4
Air_India,Mumbai,15825,Delhi,4
Vistara,Mumbai,16665,Delhi,4
Vistara,Mumbai,17505,Delhi,4
GO_FIRST,Mumbai,17243,Delhi,4
Vistara,Mumbai,18345,Delhi,4
Vistara,Mumbai,18450,Delhi,4
Vistara,Mumbai,19815,Delhi,4
Vistara,Mumbai,20130,Delhi,4
Air_India,Mumbai,20025,Delhi,4
Air_India,Mumbai,21180,Delhi,4
Air_India,Mumbai,21390,Delhi,4
Air_India,Mumbai,24540,Delhi,4
SpiceJet,Mumbai,5953,Delhi,5
Vistara,Mumbai,5955,Delhi,5
GO_FIRST,Mumbai,5954,Delhi,5
Indigo,Mumbai,5955,Delhi,5
Air_India,Mumbai,5955,Delhi,5
AirAsia,Mumbai,5949,Delhi,5
SpiceJet,Mumbai,5955,Delhi,5
AirAsia,Mumbai,6139,Delhi,5
SpiceJet,Mumbai,6270,Delhi,5
Indigo,Mumbai,6443,Delhi,5
GO_FIRST,Mumbai,6532,Delhi,5
Indigo,Mumbai,6953,Delhi,5
Indigo,Mumbai,7163,Delhi,5
Indigo,Mumbai,7420,Delhi,5
Air_India,Mumbai,7468,Delhi,5
Indigo,Mumbai,8396,Delhi,5
Vistara,Mumbai,9000,Delhi,5
Air_India,Mumbai,8790,Delhi,5
GO_FIRST,Mumbai,8869,Delhi,5
GO_FIRST,Mumbai,8892,Delhi,5
Air_India,Mumbai,9000,Delhi,5
Air_India,Mumbai,9315,Delhi,5
Air_India,Mumbai,9368,Delhi,5
Indigo,Mumbai,9373,Delhi,5
GO_FIRST,Mumbai,9447,Delhi,5
Vistara,Mumbai,9840,Delhi,5
Vistara,Mumbai,9893,Delhi,5
Air_India,Mumbai,9590,Delhi,5
Vistara,Mumbai,9945,Delhi,5
Indigo,Mumbai,9998,Delhi,5
Vistara,Mumbai,10575,Delhi,5
SpiceJet,Mumbai,10260,Delhi,5
Air_India,Mumbai,10260,Delhi,5
Vistara,Mumbai,10723,Delhi,5
GO_FIRST,Mumbai,10549,Delhi,5
GO_FIRST,Mumbai,10575,Delhi,5
Air_India,Mumbai,10680,Delhi,5
GO_FIRST,Mumbai,11259,Delhi,5
GO_FIRST,Mumbai,11295,Delhi,5
Air_India,Mumbai,11573,Delhi,5
GO_FIRST,Mumbai,11609,Delhi,5
Air_India,Mumbai,11773,Delhi,5
Vistara,Mumbai,12150,Delhi,5
Air_India,Mumbai,11900,Delhi,5
GO_FIRST,Mumbai,12045,Delhi,5
Air_India,Mumbai,12150,Delhi,5
Vistara,Mumbai,12990,Delhi,5
Vistara,Mumbai,13095,Delhi,5
Air_India,Mumbai,12990,Delhi,5
AirAsia,Mumbai,12990,Delhi,5
Vistara,Mumbai,13410,Delhi,5
Air_India,Mumbai,13200,Delhi,5
Indigo,Mumbai,13279,Delhi,5
Vistara,Mumbai,13725,Delhi,5
Air_India,Mumbai,13410,Delhi,5
Vistara,Mumbai,13830,Delhi,5
Air_India,Mumbai,13506,Delhi,5
Air_India,Mumbai,14031,Delhi,5
Air_India,Mumbai,14355,Delhi,5
Vistara,Mumbai,14880,Delhi,5
Air_India,Mumbai,14670,Delhi,5
Air_India,Mumbai,14985,Delhi,5
Air_India,Mumbai,15405,Delhi,5
Air_India,Mumbai,15615,Delhi,5
Indigo,Mumbai,15720,Delhi,5
Air_India,Mumbai,16245,Delhi,5
Air_India,Mumbai,17505,Delhi,5
Vistara,Mumbai,18345,Delhi,5
Air_India,Mumbai,19500,Delhi,5
Air_India,Mumbai,21180,Delhi,5
Air_India,Mumbai,21443,Delhi,5
Air_India,Mumbai,22755,Delhi,5
Air_India,Mumbai,24908,Delhi,5
SpiceJet,Mumbai,5953,Delhi,6
AirAsia,Mumbai,5956,Delhi,6
Vistara,Mumbai,5955,Delhi,6
Vistara,Mumbai,6060,Delhi,6
GO_FIRST,Mumbai,5954,Delhi,6
Indigo,Mumbai,5955,Delhi,6
Air_India,Mumbai,5955,Delhi,6
AirAsia,Mumbai,5949,Delhi,6
SpiceJet,Mumbai,6060,Delhi,6
Indigo,Mumbai,6165,Delhi,6
SpiceJet,Mumbai,6270,Delhi,6
GO_FIRST,Mumbai,6532,Delhi,6
Indigo,Mumbai,6585,Delhi,6
Indigo,Mumbai,6638,Delhi,6
Indigo,Mumbai,6932,Delhi,6
Indigo,Mumbai,7420,Delhi,6
Indigo,Mumbai,7908,Delhi,6
Vistara,Mumbai,9000,Delhi,6
GO_FIRST,Mumbai,8869,Delhi,6
AirAsia,Mumbai,8869,Delhi,6
Indigo,Mumbai,8885,Delhi,6
Air_India,Mumbai,9000,Delhi,6
Air_India,Mumbai,9368,Delhi,6
Vistara,Mumbai,9840,Delhi,6
Air_India,Mumbai,9525,Delhi,6
Vistara,Mumbai,9945,Delhi,6
Vistara,Mumbai,10198,Delhi,6
Indigo,Mumbai,10003,Delhi,6
Air_India,Mumbai,10103,Delhi,6
Air_India,Mumbai,10313,Delhi,6
Air_India,Mumbai,10680,Delhi,6
Indigo,Mumbai,10838,Delhi,6
Air_India,Mumbai,10921,Delhi,6
GO_FIRST,Mumbai,11127,Delhi,6
GO_FIRST,Mumbai,11179,Delhi,6
SpiceJet,Mumbai,11281,Delhi,6
GO_FIRST,Mumbai,11295,Delhi,6
Air_India,Mumbai,11520,Delhi,6
GO_FIRST,Mumbai,11609,Delhi,6
Air_India,Mumbai,11730,Delhi,6
Vistara,Mumbai,12150,Delhi,6
Indigo,Mumbai,11814,Delhi,6
Air_India,Mumbai,11900,Delhi,6
Air_India,Mumbai,11940,Delhi,6
Vistara,Mumbai,12308,Delhi,6
GO_FIRST,Mumbai,12045,Delhi,6
Air_India,Mumbai,12150,Delhi,6
Air_India,Mumbai,12298,Delhi,6
SpiceJet,Mumbai,12360,Delhi,6
Air_India,Mumbai,12518,Delhi,6
Vistara,Mumbai,12990,Delhi,6
Vistara,Mumbai,13095,Delhi,6
Indigo,Mumbai,12833,Delhi,6
Vistara,Mumbai,13200,Delhi,6
Air_India,Mumbai,12990,Delhi,6
Vistara,Mumbai,13410,Delhi,6
Vistara,Mumbai,13725,Delhi,6
Vistara,Mumbai,13830,Delhi,6
Vistara,Mumbai,13988,Delhi,6
Vistara,Mumbai,14355,Delhi,6
Vistara,Mumbai,14565,Delhi,6
Air_India,Mumbai,14250,Delhi,6
Indigo,Mumbai,14255,Delhi,6
SpiceJet,Mumbai,14328,Delhi,6
Air_India,Mumbai,14355,Delhi,6
Vistara,Mumbai,14880,Delhi,6
Air_India,Mumbai,14670,Delhi,6
Air_India,Mumbai,14775,Delhi,6
Air_India,Mumbai,14880,Delhi,6
Vistara,Mumbai,15615,Delhi,6
Air_India,Mumbai,15405,Delhi,6
Air_India,Mumbai,15615,Delhi,6
Indigo,Mumbai,15720,Delhi,6
Air_India,Mumbai,17925,Delhi,6
Air_India,Mumbai,18765,Delhi,6
Air_India,Mumbai,19500,Delhi,6
Air_India,Mumbai,20445,Delhi,6
Air_India,Mumbai,21180,Delhi,6
Air_India,Mumbai,22755,Delhi,6
Vistara,Mumbai,23700,Delhi,6
SpiceJet,Mumbai,5953,Delhi,7
Vistara,Mumbai,5955,Delhi,7
Vistara,Mumbai,6060,Delhi,7
GO_FIRST,Mumbai,5954,Delhi,7
Indigo,Mumbai,5955,Delhi,7
Air_India,Mumbai,5955,Delhi,7
SpiceJet,Mumbai,5955,Delhi,7
SpiceJet,Mumbai,6060,Delhi,7
Indigo,Mumbai,6165,Delhi,7
AirAsia,Mumbai,6349,Delhi,7
GO_FIRST,Mumbai,6532,Delhi,7
Indigo,Mumbai,6585,Delhi,7
Indigo,Mumbai,6638,Delhi,7
Indigo,Mumbai,6932,Delhi,7
Indigo,Mumbai,6953,Delhi,7
Indigo,Mumbai,7110,Delhi,7
Air_India,Mumbai,7468,Delhi,7
Vistara,Mumbai,8948,Delhi,7
Vistara,Mumbai,9105,Delhi,7
GO_FIRST,Mumbai,8869,Delhi,7
AirAsia,Mumbai,8869,Delhi,7
Air_India,Mumbai,9000,Delhi,7
Air_India,Mumbai,9053,Delhi,7
Indigo,Mumbai,9263,Delhi,7
Air_India,Mumbai,9315,Delhi,7
Indigo,Mumbai,9373,Delhi,7
Vistara,Mumbai,9840,Delhi,7
Vistara,Mumbai,9893,Delhi,7
Air_India,Mumbai,9590,Delhi,7
Vistara,Mumbai,9945,Delhi,7
Vistara,Mumbai,9998,Delhi,7
Indigo,Mumbai,9861,Delhi,7
Air_India,Mumbai,9905,Delhi,7
Vistara,Mumbai,10260,Delhi,7
Indigo,Mumbai,9998,Delhi,7
Indigo,Mumbai,10349,Delhi,7
Vistara,Mumbai,10723,Delhi,7
Air_India,Mumbai,10523,Delhi,7
Air_India,Mumbai,10680,Delhi,7
Air_India,Mumbai,10921,Delhi,7
GO_FIRST,Mumbai,11179,Delhi,7
GO_FIRST,Mumbai,11295,Delhi,7
Air_India,Mumbai,11310,Delhi,7
Air_India,Mumbai,11520,Delhi,7
Indigo,Mumbai,11573,Delhi,7
Air_India,Mumbai,11730,Delhi,7
Vistara,Mumbai,12150,Delhi,7
Air_India,Mumbai,11900,Delhi,7
SpiceJet,Mumbai,12010,Delhi,7
Indigo,Mumbai,12098,Delhi,7
Air_India,Mumbai,12150,Delhi,7
Air_India,Mumbai,12215,Delhi,7
Air_India,Mumbai,12360,Delhi,7
Vistara,Mumbai,12990,Delhi,7
Vistara,Mumbai,13095,Delhi,7
Indigo,Mumbai,12791,Delhi,7
Air_India,Mumbai,12990,Delhi,7
Indigo,Mumbai,13279,Delhi,7
Vistara,Mumbai,13988,Delhi,7
Air_India,Mumbai,13830,Delhi,7
Air_India,Mumbai,14176,Delhi,7
Vistara,Mumbai,14565,Delhi,7
Indigo,Mumbai,14255,Delhi,7
Air_India,Mumbai,14355,Delhi,7
GO_FIRST,Mumbai,14539,Delhi,7
Air_India,Mumbai,14670,Delhi,7
AirAsia,Mumbai,14776,Delhi,7
Air_India,Mumbai,14880,Delhi,7
AirAsia,Mumbai,15244,Delhi,7
Air_India,Mumbai,15300,Delhi,7
GO_FIRST,Mumbai,15405,Delhi,7
Air_India,Mumbai,15405,Delhi,7
SpiceJet,Mumbai,15720,Delhi,7
Vistara,Mumbai,16455,Delhi,7
GO_FIRST,Mumbai,16193,Delhi,7
Air_India,Mumbai,16665,Delhi,7
Vistara,Mumbai,18870,Delhi,7
GO_FIRST,Mumbai,18959,Delhi,7
Vistara,Mumbai,19395,Delhi,7
Air_India,Mumbai,21075,Delhi,7
Air_India,Mumbai,21180,Delhi,7
Air_India,Mumbai,21443,Delhi,7
Vistara,Mumbai,24488,Delhi,7
SpiceJet,Mumbai,5953,Delhi,8
Vistara,Mumbai,5955,Delhi,8
GO_FIRST,Mumbai,5954,Delhi,8
Indigo,Mumbai,5955,Delhi,8
AirAsia,Mumbai,5956,Delhi,8
Air_India,Mumbai,5955,Delhi,8
SpiceJet,Mumbai,5955,Delhi,8
Vistara,Mumbai,6375,Delhi,8
SpiceJet,Mumbai,6060,Delhi,8
Indigo,Mumbai,6165,Delhi,8
Vistara,Mumbai,6690,Delhi,8
GO_FIRST,Mumbai,6532,Delhi,8
Indigo,Mumbai,6585,Delhi,8
Indigo,Mumbai,6932,Delhi,8
Indigo,Mumbai,7420,Delhi,8
Air_India,Mumbai,7468,Delhi,8
Indigo,Mumbai,7908,Delhi,8
Indigo,Mumbai,8108,Delhi,8
Air_India,Mumbai,8475,Delhi,8
Indigo,Mumbai,8685,Delhi,8
Vistara,Mumbai,9105,Delhi,8
Vistara,Mumbai,9158,Delhi,8
GO_FIRST,Mumbai,8869,Delhi,8
Indigo,Mumbai,8885,Delhi,8
Air_India,Mumbai,9000,Delhi,8
GO_FIRST,Mumbai,9183,Delhi,8
Air_India,Mumbai,9315,Delhi,8
Vistara,Mumbai,9840,Delhi,8
Air_India,Mumbai,9590,Delhi,8
Vistara,Mumbai,9945,Delhi,8
Indigo,Mumbai,9861,Delhi,8
Indigo,Mumbai,10003,Delhi,8
Air_India,Mumbai,10050,Delhi,8
SpiceJet,Mumbai,10260,Delhi,8
Indigo,Mumbai,10523,Delhi,8
Air_India,Mumbai,10680,Delhi,8
Indigo,Mumbai,10733,Delhi,8
Indigo,Mumbai,10838,Delhi,8
GO_FIRST,Mumbai,11179,Delhi,8
GO_FIRST,Mumbai,11295,Delhi,8
Air_India,Mumbai,11310,Delhi,8
Vistara,Mumbai,11835,Delhi,8
AirAsia,Mumbai,11520,Delhi,8
Vistara,Mumbai,11888,Delhi,8
Vistara,Mumbai,12150,Delhi,8
Air_India,Mumbai,11900,Delhi,8
Indigo,Mumbai,11993,Delhi,8
Air_India,Mumbai,12150,Delhi,8
Vistara,Mumbai,12623,Delhi,8
Air_India,Mumbai,12298,Delhi,8
Indigo,Mumbai,12302,Delhi,8
Air_India,Mumbai,12360,Delhi,8
Vistara,Mumbai,12990,Delhi,8
Air_India,Mumbai,12740,Delhi,8
SpiceJet,Mumbai,12857,Delhi,8
Air_India,Mumbai,12990,Delhi,8
AirAsia,Mumbai,12990,Delhi,8
Air_India,Mumbai,13200,Delhi,8
Air_India,Mumbai,13441,Delhi,8
Vistara,Mumbai,13830,Delhi,8
Vistara,Mumbai,14040,Delhi,8
GO_FIRST,Mumbai,13699,Delhi,8
Air_India,Mumbai,13830,Delhi,8
Vistara,Mumbai,14565,Delhi,8
AirAsia,Mumbai,14670,Delhi,8
Vistara,Mumbai,14985,Delhi,8
Air_India,Mumbai,14670,Delhi,8
Vistara,Mumbai,15300,Delhi,8
Vistara,Mumbai,15405,Delhi,8
GO_FIRST,Mumbai,15405,Delhi,8
Air_India,Mumbai,15405,Delhi,8
Air_India,Mumbai,15973,Delhi,8
Air_India,Mumbai,16035,Delhi,8
Vistara,Mumbai,16455,Delhi,8
Air_India,Mumbai,16245,Delhi,8
Vistara,Mumbai,16665,Delhi,8
Air_India,Mumbai,17295,Delhi,8
Vistara,Mumbai,17715,Delhi,8
Air_India,Mumbai,17400,Delhi,8
Air_India,Mumbai,17505,Delhi,8
Vistara,Mumbai,19123,Delhi,8
SpiceJet,Mumbai,19464,Delhi,8
Air_India,Mumbai,19500,Delhi,8
Air_India,Mumbai,20760,Delhi,8
AirAsia,Mumbai,23307,Delhi,8
Vistara,Mumbai,28058,Delhi,8
